Year,Sightings
2015,6774
2014,8600
2013,7748
2012,8053
2011,5576
2010,4741
2009,4964
2008,5274
2007,4712
2006,4142
2005,4495
2004,4724
2003,4402
2002,3665
2001,3512
2000,3073
1999,3140
1998,2007
1997,1429
1996,1002
1995,1462
1994,488
1993,375
1992,298
1991,269
1990,305
1989,296
1988,280
1987,267
1986,225
1985,252
1984,210
1983,190
1982,218
1981,205
1980,291
1979,291
1978,392
1977,311
1976,335
1975,372
